Año,Trimestre,Provincia,Accesos por cada 100 hogares,Crecimiento Trimestral,Crecimiento Anual,Trimestre2
2014,1,Buenos Aires,54.57,,,2014-01-01
2014,1,Capital Federal,112.25,,,2014-01-01
2014,1,Catamarca,24.25,,,2014-01-01
2014,1,Chaco,20.72,,,2014-01-01
2014,1,Chubut,41.24,,,2014-01-01
2014,1,Corrientes,22.32,,,2014-01-01
2014,1,Córdoba,52.52,,,2014-01-01
2014,1,Entre Ríos,34.37,,,2014-01-01
2014,1,Formosa,17.42,,,2014-01-01
2014,1,Jujuy,18.42,,,2014-01-01
2014,1,La Pampa,48.43,,,2014-01-01
2014,1,La Rioja,16.29,,,2014-01-01
2014,1,Mendoza,31.91,,,2014-01-01
2014,1,Misiones,23.14,,,2014-01-01
2014,1,Neuquén,49.79,,,2014-01-01
2014,1,Río Negro,44.91,,,2014-01-01
2014,1,Salta,28.7,,,2014-01-01
2014,1,San Juan,27.6,,,2014-01-01
2014,1,San Luis,9.35,,,2014-01-01
2014,1,Santa Cruz,28.94,,,2014-01-01
2014,1,Santa Fe,47.85,,,2014-01-01
2014,1,Santiago Del Estero,16.31,,,2014-01-01
2014,1,Tierra Del Fuego,63.97,,,2014-01-01
2014,1,Tucumán,33.42,,,2014-01-01
2014,2,Buenos Aires,55.06,0.8979292651640103,,2014-04-01
2014,2,Capital Federal,113.14,0.7928730512249516,,2014-04-01
2014,2,Catamarca,24.7,1.855670103092777,,2014-04-01
2014,2,Chaco,20.96,1.1583011583011782,,2014-04-01
2014,2,Chubut,41.41,0.4122211445198642,,2014-04-01
2014,2,Corrientes,22.58,1.1648745519713175,,2014-04-01
2014,2,Córdoba,53.45,1.7707539984767706,,2014-04-01
2014,2,Entre Ríos,34.69,0.9310445155658932,,2014-04-01
2014,2,Formosa,17.54,0.6888633754305262,,2014-04-01
2014,2,Jujuy,18.71,1.574375678610207,,2014-04-01
2014,2,La Pampa,49.71,2.6429898823043585,,2014-04-01
2014,2,La Rioja,16.5,1.2891344383057168,,2014-04-01
2014,2,Mendoza,32.1,0.5954246317768863,,2014-04-01
2014,2,Misiones,23.37,0.9939498703543714,,2014-04-01
2014,2,Neuquén,50.84,2.10885720024101,,2014-04-01
2014,2,Río Negro,45.33,0.9352037408149716,,2014-04-01
2014,2,Salta,28.91,0.7317073170731714,,2014-04-01
2014,2,San Juan,27.78,0.6521739130434856,,2014-04-01
2014,2,San Luis,9.72,3.957219251336919,,2014-04-01
2014,2,Santa Cruz,29.38,1.520387007601931,,2014-04-01
2014,2,Santa Fe,48.39,1.1285266457680132,,2014-04-01
2014,2,Santiago Del Estero,16.7,2.391171060698971,,2014-04-01
2014,2,Tierra Del Fuego,64.36,0.6096607784899177,,2014-04-01
2014,2,Tucumán,33.94,1.5559545182525223,,2014-04-01
2014,3,Buenos Aires,56.75,3.0693788594260862,,2014-07-01
2014,3,Capital Federal,113.8,0.5833480643450573,,2014-07-01
2014,3,Catamarca,24.71,0.0404858299595245,,2014-07-01
2014,3,Chaco,21.11,0.7156488549618256,,2014-07-01
2014,3,Chubut,40.6,-1.9560492634629223,,2014-07-01
2014,3,Corrientes,22.79,0.93002657218777,,2014-07-01
2014,3,Córdoba,54.23,1.4593077642656604,,2014-07-01
2014,3,Entre Ríos,34.98,0.835975785528964,,2014-07-01
2014,3,Formosa,17.77,1.3112884834663552,,2014-07-01
2014,3,Jujuy,18.37,-1.8172100481026128,,2014-07-01
2014,3,La Pampa,55.78,12.210822772078057,,2014-07-01
2014,3,La Rioja,16.51,0.0606060606060721,,2014-07-01
2014,3,Mendoza,32.31,0.6542056074766434,,2014-07-01
2014,3,Misiones,23.57,0.8557980316645342,,2014-07-01
2014,3,Neuquén,56.4,10.93627065302909,,2014-07-01
2014,3,Río Negro,46.2,1.9192587690271437,,2014-07-01
2014,3,Salta,29.22,1.072293324109297,,2014-07-01
2014,3,San Juan,27.85,0.2519798416126706,,2014-07-01
2014,3,San Luis,9.71,-0.1028806584362107,,2014-07-01
2014,3,Santa Cruz,28.23,-3.91422736555479,,2014-07-01
2014,3,Santa Fe,49.2,1.673899566026038,,2014-07-01
2014,3,Santiago Del Estero,16.49,-1.2574850299401197,,2014-07-01
2014,3,Tierra Del Fuego,65.69,2.0665009322560657,,2014-07-01
2014,3,Tucumán,33.94,0.0,,2014-07-01
2014,4,Buenos Aires,56.09,-1.162995594713645,,2014-10-01
2014,4,Capital Federal,114.9,0.9666080843585334,,2014-10-01
2014,4,Catamarca,25.51,3.2375556454876664,,2014-10-01
2014,4,Chaco,21.87,3.6001894836570347,,2014-10-01
2014,4,Chubut,40.25,-0.8620689655172487,,2014-10-01
2014,4,Corrientes,23.56,3.378674857393582,,2014-10-01
2014,4,Córdoba,54.7,0.8666789599852676,,2014-10-01
2014,4,Entre Ríos,36.03,3.001715265866212,,2014-10-01
2014,4,Formosa,17.96,1.0692177827799745,,2014-10-01
2014,4,Jujuy,19.6,6.695699510070763,,2014-10-01
2014,4,La Pampa,51.27,-8.08533524560774,,2014-10-01
2014,4,La Rioja,17.01,3.028467595396722,,2014-10-01
2014,4,Mendoza,32.64,1.021355617455888,,2014-10-01
2014,4,Misiones,24.16,2.503182011030969,,2014-10-01
2014,4,Neuquén,52.55,-6.826241134751776,,2014-10-01
2014,4,Río Negro,45.48,-1.55844155844157,,2014-10-01
2014,4,Salta,29.53,1.0609171800136874,,2014-10-01
2014,4,San Juan,28.04,0.6822262118491906,,2014-10-01
2014,4,San Luis,9.79,0.8238928939237722,,2014-10-01
2014,4,Santa Cruz,27.8,-1.52320226709175,,2014-10-01
2014,4,Santa Fe,50.0,1.6260162601625885,,2014-10-01
2014,4,Santiago Del Estero,17.27,4.730139478471807,,2014-10-01
2014,4,Tierra Del Fuego,66.14,0.6850357740904256,,2014-10-01
2014,4,Tucumán,35.32,4.065998821449623,,2014-10-01
2015,1,Buenos Aires,56.37,0.4991977179532814,3.2985156679494088,2015-01-01
2015,1,Capital Federal,114.9,0.0,2.3608017817372096,2015-01-01
2015,1,Catamarca,25.11,-1.5680125441003612,3.546391752577316,2015-01-01
2015,1,Chaco,26.65,21.85642432556012,28.619691119691115,2015-01-01
2015,1,Chubut,37.61,-6.5590062111801295,-8.802133850630467,2015-01-01
2015,1,Corrientes,28.95,22.87775891341257,29.7043010752688,2015-01-01
2015,1,Córdoba,54.7,0.0,4.150799695354146,2015-01-01
2015,1,Entre Ríos,42.07,16.76380793782959,22.40325865580448,2015-01-01
2015,1,Formosa,18.12,0.8908685968819663,4.018369690011481,2015-01-01
2015,1,Jujuy,19.69,0.4591836734693766,6.894679695982631,2015-01-01
2015,1,La Pampa,55.51,8.269943436707617,14.61903778649598,2015-01-01
2015,1,La Rioja,16.7,-1.8224573780129427,2.516881522406389,2015-01-01
2015,1,Mendoza,32.37,-0.8272058823529549,1.441554371670306,2015-01-01
2015,1,Misiones,26.31,8.899006622516549,13.699222126188417,2015-01-01
2015,1,Neuquén,51.95,-1.1417697431017948,4.33822052621009,2015-01-01
2015,1,Río Negro,45.33,-0.329815303430081,0.9352037408149716,2015-01-01
2015,1,Salta,30.01,1.6254656281747382,4.564459930313602,2015-01-01
2015,1,San Juan,27.55,-1.747503566333808,-0.1811594202898558,2015-01-01
2015,1,San Luis,9.72,-0.7150153217568844,3.957219251336919,2015-01-01
2015,1,Santa Cruz,27.99,0.6834532374100588,-3.2826537664132798,2015-01-01
2015,1,Santa Fe,50.24,0.4800000000000137,4.99477533960293,2015-01-01
2015,1,Santiago Del Estero,17.06,-1.2159814707585426,4.5984058859595445,2015-01-01
2015,1,Tierra Del Fuego,74.23,12.231629876020577,16.038768172580898,2015-01-01
2015,1,Tucumán,35.08,-0.6795016987542479,4.967085577498498,2015-01-01
2015,2,Buenos Aires,56.8,0.7628171012950213,3.160188884852877,2015-04-01
2015,2,Capital Federal,116.07,1.0182767624020703,2.5897118614106374,2015-04-01
2015,2,Catamarca,25.45,1.3540422142572783,3.036437246963564,2015-04-01
2015,2,Chaco,27.46,3.039399624765493,31.011450381679385,2015-04-01
2015,2,Chubut,36.58,-2.7386333421962283,-11.663849311760444,2015-04-01
2015,2,Corrientes,29.58,2.1761658031087983,31.000885739592565,2015-04-01
2015,2,Córdoba,55.87,2.1389396709323494,4.527595884003732,2015-04-01
2015,2,Entre Ríos,42.93,2.0442120275731,23.753243009512826,2015-04-01
2015,2,Formosa,18.36,1.3245033112582627,4.675028506271373,2015-04-01
2015,2,Jujuy,20.29,3.0472320975114098,8.444681988241577,2015-04-01
2015,2,La Pampa,56.71,2.161772653575933,14.081673707503528,2015-04-01
2015,2,La Rioja,16.88,1.0778443113772518,2.303030303030296,2015-04-01
2015,2,Mendoza,32.49,0.3707136237256936,1.2149532710280295,2015-04-01
2015,2,Misiones,27.35,3.952869631318912,17.03038083012409,2015-04-01
2015,2,Neuquén,53.12,2.252165543792106,4.484657749803289,2015-04-01
2015,2,Río Negro,45.98,1.4339289653650944,1.4339289653650944,2015-04-01
2015,2,Salta,30.46,1.499500166611134,5.361466620546529,2015-04-01
2015,2,San Juan,27.64,0.3266787658802172,-0.5039596832253412,2015-04-01
2015,2,San Luis,9.71,-0.1028806584362107,-0.1028806584362107,2015-04-01
2015,2,Santa Cruz,27.07,-3.2868881743479794,-7.862491490810076,2015-04-01
2015,2,Santa Fe,51.18,1.8710191082802476,5.765654060756353,2015-04-01
2015,2,Santiago Del Estero,17.11,0.2930832356389246,2.455089820359291,2015-04-01
2015,2,Tierra Del Fuego,74.51,0.3772059814091344,15.77066500932256,2015-04-01
2015,2,Tucumán,35.69,1.7388825541619246,5.156157925751326,2015-04-01
2015,3,Buenos Aires,57.69,1.566901408450705,1.6563876651982443,2015-07-01
2015,3,Capital Federal,118.29,1.9126389247867688,3.945518453427077,2015-07-01
2015,3,Catamarca,25.86,1.6110019646365492,4.653986240388508,2015-07-01
2015,3,Chaco,27.96,1.820830298616172,32.449076267171975,2015-07-01
2015,3,Chubut,36.81,0.6287588846364267,-9.33497536945812,2015-07-01
2015,3,Corrientes,30.17,1.9945909398242143,32.38262395787628,2015-07-01
2015,3,Córdoba,57.08,2.165741900841245,5.255393693527566,2015-07-01
2015,3,Entre Ríos,43.68,1.7470300489168311,24.871355060034304,2015-07-01
2015,3,Formosa,18.84,2.614379084967333,6.021384355655601,2015-07-01
2015,3,Jujuy,21.27,4.829965500246436,15.786608600979848,2015-07-01
2015,3,La Pampa,57.96,2.2041967906894837,3.9082108282538552,2015-07-01
2015,3,La Rioja,17.15,1.5995260663506985,3.8764385221077946,2015-07-01
2015,3,Mendoza,32.49,0.0,0.557103064066844,2015-07-01
2015,3,Misiones,28.31,3.510054844606936,20.11030971574035,2015-07-01
2015,3,Neuquén,54.6,2.7861445783132543,-3.1914893617021267,2015-07-01
2015,3,Río Negro,46.39,0.8916920400174,0.4112554112553956,2015-07-01
2015,3,Salta,31.18,2.36375574523966,6.707734428473655,2015-07-01
2015,3,San Juan,27.67,0.1085383502170911,-0.6463195691202905,2015-07-01
2015,3,San Luis,9.71,0.0,0.0,2015-07-01
2015,3,Santa Cruz,27.61,1.9948282231252223,-2.1962451292950824,2015-07-01
2015,3,Santa Fe,52.15,1.8952715904650308,5.99593495934958,2015-07-01
2015,3,Santiago Del Estero,17.12,0.0584453535944051,3.8204972710733855,2015-07-01
2015,3,Tierra Del Fuego,74.86,0.4697356059589319,13.959506774242648,2015-07-01
2015,3,Tucumán,36.61,2.577752871952943,7.866823806717749,2015-07-01
2015,4,Buenos Aires,58.29,1.0400416016640657,3.922267783918687,2015-10-01
2015,4,Capital Federal,118.13,-0.1352607997294863,2.811140121845068,2015-10-01
2015,4,Catamarca,26.24,1.4694508894044889,2.861622892983129,2015-10-01
2015,4,Chaco,28.35,1.3948497854077369,29.629629629629623,2015-10-01
2015,4,Chubut,36.89,0.2173322466720861,-8.347826086956523,2015-10-01
2015,4,Corrientes,30.34,0.5634736493205006,28.77758913412565,2015-10-01
2015,4,Córdoba,57.36,0.4905395935529189,4.862888482632544,2015-10-01
