,Año,Trimestre,Banda ancha fija,Dial up,Total,Periodo,Dial_porcent,Banda_porcent,Porcentaje_Crecimiento_Trimestral,Porcentaje_Crecimiento_Anual
34,2014,1,6362108,36290,6398398,Ene-Mar 2014,0.57,99.43,,
33,2014,2,6428329,36139,6464468,Abr-Jun 2014,0.56,99.44,1.03,
32,2014,3,6559264,36007,6595271,Jul-Sept 2014,0.55,99.45,2.02,
31,2014,4,6559172,39324,6598496,Oct-Dic 2014,0.6,99.4,0.05,
30,2015,1,6699714,38018,6737732,Ene-Mar 2015,0.56,99.44,2.11,5.3
29,2015,2,6783279,32909,6816188,Abr-Jun 2015,0.48,99.52,1.16,5.44
28,2015,3,6902267,32801,6935068,Jul-Sept 2015,0.47,99.53,1.74,5.15
27,2015,4,6952289,32542,6984831,Oct-Dic 2015,0.47,99.53,0.72,5.85
26,2016,1,6874704,32652,6907356,Ene-Mar 2016,0.47,99.53,-1.11,2.52
25,2016,2,7097604,32475,7130079,Abr-Jun 2016,0.46,99.54,3.22,4.61
24,2016,3,7178340,28610,7206950,Jul-Sept 2016,0.4,99.6,1.08,3.92
23,2016,4,7223128,28545,7251673,Oct-Dic 2016,0.39,99.61,0.62,3.82
22,2017,1,7277314,28540,7305854,Ene-Mar 2017,0.39,99.61,0.75,5.77
21,2017,2,7401134,28530,7429664,Abr-Jun 2017,0.38,99.62,1.69,4.2
20,2017,3,7696594,28349,7724943,Jul-Sept 2017,0.37,99.63,3.97,7.19
19,2017,4,7842778,27444,7870222,Oct-Dic 2017,0.35,99.65,1.88,8.53
18,2018,1,8009981,27072,8037053,Ene-Mar 2018,0.34,99.66,2.12,10.01
17,2018,2,8083533,26911,8110444,Abr-Jun 2018,0.33,99.67,0.91,9.16
16,2018,3,8320223,26812,8347035,Jul-Sept 2018,0.32,99.68,2.92,8.05
15,2018,4,8451841,21814,8473655,Oct-Dic 2018,0.26,99.74,1.52,7.67
14,2019,1,8626323,21812,8648135,Ene-Mar 2019,0.25,99.75,2.06,7.6
13,2019,2,8938427,21754,8960181,Abr-Jun 2019,0.24,99.76,3.61,10.48
12,2019,3,9142891,21793,9164684,Jul-Sept 2019,0.24,99.76,2.28,9.8
11,2019,4,8783053,10128,8793181,Oct-Dic 2019,0.12,99.88,-4.05,3.77
10,2020,1,8802435,9991,8812426,Ene-Mar 2020,0.11,99.89,0.22,1.9
9,2020,2,9021040,10016,9031056,Abr-Jun 2020,0.11,99.89,2.48,0.79
8,2020,3,9346183,10016,9356199,Jul-Sept 2020,0.11,99.89,3.6,2.09
7,2020,4,9561546,10016,9571562,Oct-Dic 2020,0.1,99.9,2.3,8.85
6,2021,1,9637956,10016,9647972,Ene-Mar 2021,0.1,99.9,0.8,9.48
5,2021,2,9852702,10382,9863084,Abr-Jun 2021,0.11,99.89,2.23,9.21
4,2021,3,10075184,10357,10085541,Jul-Sept 2021,0.1,99.9,2.26,7.8
3,2021,4,10476933,12861,10489794,Oct-Dic 2021,0.12,99.88,4.01,9.59
2,2022,1,10611390,12619,10624009,Ene-Mar 2022,0.12,99.88,1.28,10.12
1,2022,2,10946248,12436,10958684,Abr-Jun 2022,0.11,99.89,3.15,11.11
0,2022,3,11078691,12437,11091128,Jul-Sept 2022,0.11,99.89,1.21,9.97
