Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Proporción,Crecimiento Trimestral,Crecimiento Anual,Trimestre2
2014,1,Buenos Aires,2725732,14144,2739876,0.4282,0.00,0.00,2014-01-01
2014,1,Capital Federal,1289204,10714,1299918,0.2032,0.00,0.00,2014-01-01
2014,1,Catamarca,24209,23,24232,0.0038,0.00,0.00,2014-01-01
2014,1,Chaco,62520,36,62556,0.0098,0.00,0.00,2014-01-01
2014,1,Chubut,68205,2016,70221,0.0110,0.00,0.00,2014-01-01
2014,1,Corrientes,62203,33,62236,0.0097,0.00,0.00,2014-01-01
2014,1,Córdoba,566705,205,566910,0.0886,0.00,0.00,2014-01-01
2014,1,Entre Ríos,134216,115,134331,0.0210,0.00,0.00,2014-01-01
2014,1,Formosa,25335,87,25422,0.0040,0.00,0.00,2014-01-01
2014,1,Jujuy,33825,2,33827,0.0053,0.00,0.00,2014-01-01
2014,1,La Pampa,53601,592,54193,0.0085,0.00,0.00,2014-01-01
2014,1,La Rioja,15688,23,15711,0.0025,0.00,0.00,2014-01-01
2014,1,Mendoza,164084,1761,165845,0.0259,0.00,0.00,2014-01-01
2014,1,Misiones,73950,0,73950,0.0116,0.00,0.00,2014-01-01
2014,1,Neuquén,88077,2303,90380,0.0141,0.00,0.00,2014-01-01
2014,1,Río Negro,93909,1157,95066,0.0149,0.00,0.00,2014-01-01
2014,1,Salta,91265,25,91290,0.0143,0.00,0.00,2014-01-01
2014,1,San Juan,50543,755,51298,0.0080,0.00,0.00,2014-01-01
2014,1,San Luis,12193,364,12557,0.0020,0.00,0.00,2014-01-01
2014,1,Santa Cruz,26304,460,26764,0.0042,0.00,0.00,2014-01-01
2014,1,Santa Fe,506000,612,506612,0.0792,0.00,0.00,2014-01-01
2014,1,Santiago Del Estero,37124,9,37133,0.0058,0.00,0.00,2014-01-01
2014,1,Tierra Del Fuego,27272,766,28038,0.0044,0.00,0.00,2014-01-01
2014,1,Tucumán,129944,88,130032,0.0203,0.00,0.00,2014-01-01
2014,2,Buenos Aires,2750430,14116,2764546,0.4277,0.90,0.00,2014-04-01
2014,2,Capital Federal,1299502,10713,1310215,0.2027,0.79,0.00,2014-04-01
2014,2,Catamarca,24660,23,24683,0.0038,1.86,0.00,2014-04-01
2014,2,Chaco,63243,36,63279,0.0098,1.16,0.00,2014-04-01
2014,2,Chubut,68503,2016,70519,0.0109,0.42,0.00,2014-04-01
2014,2,Corrientes,62925,33,62958,0.0097,1.16,0.00,2014-04-01
2014,2,Córdoba,576747,205,576952,0.0892,1.77,0.00,2014-04-01
2014,2,Entre Ríos,135468,115,135583,0.0210,0.93,0.00,2014-04-01
2014,2,Formosa,25535,65,25600,0.0040,0.70,0.00,2014-04-01
2014,2,Jujuy,34359,2,34361,0.0053,1.58,0.00,2014-04-01
2014,2,La Pampa,55048,580,55628,0.0086,2.65,0.00,2014-04-01
2014,2,La Rioja,15889,23,15912,0.0025,1.28,0.00,2014-04-01
2014,2,Mendoza,165046,1761,166807,0.0258,0.58,0.00,2014-04-01
2014,2,Misiones,74689,0,74689,0.0116,1.00,0.00,2014-04-01
2014,2,Neuquén,90053,2235,92288,0.0143,2.11,0.00,2014-04-01
2014,2,Río Negro,94812,1145,95957,0.0148,0.94,0.00,2014-04-01
2014,2,Salta,91949,25,91974,0.0142,0.75,0.00,2014-04-01
2014,2,San Juan,50891,755,51646,0.0080,0.68,0.00,2014-04-01
2014,2,San Luis,12691,364,13055,0.0020,3.97,0.00,2014-04-01
2014,2,Santa Cruz,26710,459,27169,0.0042,1.51,0.00,2014-04-01
2014,2,Santa Fe,511753,605,512358,0.0793,1.13,0.00,2014-04-01
